"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
"marker1"	"OTU_13 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Dorea NA"	"Да"	3.85559996220724	0.0234150893438465	0.0234150893438465
"marker2"	"OTU_15 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Fusicatenibacter NA"	"Да"	3.7338830259992	0.0106529226512403	0.0106529226512403
"marker3"	"OTU_25 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae [Ruminococcus] torques group NA"	"Да"	3.65111650528824	0.0426541835974957	0.0426541835974957
"marker4"	"OTU_190 Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae Prevotella_9 NA"	"Да"	3.59100020979633	0.0303265117242467	0.0303265117242467
"marker5"	"OTU_34 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Coprococcus comes"	"Да"	3.37334020586394	0.0254987792887801	0.0254987792887801
"marker6"	"OTU_82 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia NA"	"Да"	3.3254168921751	0.0300469033364231	0.0300469033364231
"marker7"	"OTU_132 Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae Incertae Sedis NA"	"Да"	2.83483592935232	0.00664964510456383	0.00664964510456383
"marker8"	"OTU_152 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium edouardi"	"Да"	2.789756173289	0.0400455583417573	0.0400455583417573
"marker9"	"OTU_333 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Sutterellaceae Sutterella NA"	"Да"	2.78945119214419	0.0441250400175316	0.0441250400175316
"marker10"	"OTU_123 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae FCS020 group NA"	"Да"	2.73385926938187	0.00402831951016156	0.00402831951016156
"marker11"	"OTU_110 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Marvinbryantia NA"	"Да"	2.68405416703873	0.00556289034147552	0.00556289034147552
"marker12"	"OTU_239 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Marvinbryantia NA"	"Да"	2.49869522090406	0.0351565726676618	0.0351565726676618
"marker13"	"OTU_396 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA NA"	"Да"	2.41877560880565	0.00242728272229894	0.00242728272229894
"marker14"	"OTU_354 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae [Eubacterium] hallii group NA"	"Да"	2.40346731134366	0.0303265117242467	0.0303265117242467
"marker15"	"OTU_459 Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus NA"	"Да"	2.3168674246348	0.0322391923619095	0.0322391923619095
"marker16"	"OTU_439 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium NA"	"Да"	2.18702692723676	0.0139730148569984	0.0139730148569984
"marker17"	"OTU_677 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Colidextribacter NA"	"Да"	2.12822033113793	0.0171995827447748	0.0171995827447748
"marker18"	"OTU_33 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA NA"	"Нет"	4.02764432391751	0.0278332071469989	0.0278332071469989
"marker19"	"OTU_76 Bacteria Firmicutes Clostridia Oscillospirales [Eubacterium] coprostanoligenes group NA NA"	"Нет"	3.25166924904755	0.0134080320728819	0.0134080320728819
"marker20"	"OTU_195 Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae Ruminococcus champanellensis"	"Нет"	3.14695399406481	0.0415927192518126	0.0415927192518126
