feature,enrich_group,ef_lda,pvalue,padj,
marker1,OTU_13 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Dorea NA,Да,3.98335218,0.0112619394856046,0.0112619394856046
marker2,OTU_15 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Fusicatenibacter NA,Да,3.88952594,0.00451883330682687,0.00451883330682687
marker3,OTU_25 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae [Ruminococcus] torques group NA,Да,3.774511556,0.0312816234138172,0.0312816234138172
marker4,OTU_153 Bacteria Firmicutes Clostridia Clostridia UCG-014 NA NA NA,Да,3.653174059,0.033933613851449,0.033933613851449
marker5,OTU_196 Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae NA NA,Да,3.596124105,0.0454907102329498,0.0454907102329498
marker6,OTU_190 Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae Prevotella_9 NA,Да,3.577389201,0.0228164728363227,0.0228164728363227
marker7,OTU_34 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Coprococcus comes,Да,3.509839385,0.0332328674074344,0.0332328674074344
marker8,OTU_210 Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Coriobacteriales Incertae Sedis NA NA,Да,3.262227286,0.0351668398734927,0.0351668398734927
marker9,OTU_44 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Dorea NA,Да,3.216492107,0.0288240417859921,0.0288240417859921
marker10,OTU_84 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia NA,Да,3.092263165,0.0419886525620003,0.0419886525620003
marker11,OTU_152 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium edouardi,Да,2.863390098,0.0263583053151183,0.0263583053151183
marker12,OTU_110 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Marvinbryantia NA,Да,2.767208669,0.00781758369948482,0.00781758369948482
marker13,OTU_123 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae FCS020 group NA,Да,2.738180765,0.0154487474189246,0.0154487474189246
marker14,OTU_132 Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae Incertae Sedis NA,Да,2.62766296,0.0331311102736422,0.0331311102736422
marker15,OTU_354 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae [Eubacterium] hallii group NA,Да,2.550348897,0.0228164728363227,0.0228164728363227
marker16,OTU_239 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Marvinbryantia NA,Да,2.498799066,0.0388056362513931,0.0388056362513931
marker17,OTU_459 Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus NA,Да,2.36189403,0.0454907102329498,0.0454907102329498
marker18,OTU_396 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA NA,Да,2.326746712,0.0158599627189195,0.0158599627189195
marker19,OTU_439 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium NA,Да,2.264867319,0.00906182456517247,0.00906182456517247
marker20,OTU_677 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Colidextribacter NA,Да,2.092476884,0.0474013509871092,0.0474013509871092
marker21,OTU_359 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA NA,Да,2.076461029,0.0348839941177019,0.0348839941177019
marker22,OTU_20 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae UCG-002 NA,Нет,4.133185893,0.0419971586809871,0.0419971586809871
